id,class,animal.length,animal.mass,age,vibrissae.length,n.segments,d15N.avg,d13C.avg,comment
10,pup,83,14.6,0.243835616,54,15,18.17133333,-17.88133333,
13,pup,84,14,0.252054795,75,21,16.20133333,-17.75546667,
20,pup,81,14.4,0.271232877,69,23,14.29173913,-17.61115942,
22,pup,92,16,0.279452055,89,26,18.30247191,-17.87617978,
24,pup,84,14,0.279452055,66,17,18.27857143,-17.87642857,
26,pup,95,16.6,0.279452055,86,26,18.25309524,-17.67761905,
27,pup,83,12,0.279452055,80,28,18.57575,-17.67025,
31,pup,,,0.328767123,92,20,18.4042,-17.237,
32,pup,,,0.328767123,100,26,18.06,-17.65133333,
33,pup,,,0.328767123,84,27,17.22,-18.19904762,
34,pup,,,0.328767123,89,26,18.44662921,-17.58134831,
7,pup,91,14,0.243835616,68,15,17.25617647,-17.705,
8,pup,,15,0.243835616,67,16,17.50164179,-17.58462687,
9,pup,89,15.2,0.243835616,64,17,18.1690625,-18.1221875,
dec,,85.5,10.4,1.463013699,104,31,17.17403846,-17.64230769,
T11,juv,118.5,,3,112.35,84,15.14909294,-17.91335104,
T15,juv,112,,3,120,82,15.52525802,-17.86529871,
T17,juv,112.5,,2,108,68,15.01761917,-17.82173309,
T3,juv,114,,2,94.87,47,14.21346154,-18.30596154,
T32,juv,119,,4,165,134,16.26862275,-17.60922156,
T5,juv,108.5,,2,135.17,89,14.64735154,-18.02316428,
T6,juv,115,,3,149.86,105,14.52377049,-17.87180328,
T7,juv,125.5,,4,108,81,14.62814815,-17.80194444,
