"id","age_class","age","length_class","segement","segment_length","segment_end","segment_midpoint","segment_percentile","d13C","d15N","age_n"
"7","pup",0.243835616,"long",1,2,2,1,0.985294117647059,-17.96,16.05,0
"7","pup",0.243835616,"long",2,2,4,3,0.955882352941177,-17.91,15.9,0
"7","pup",0.243835616,"long",3,2,6,5,0.926470588235294,-17.86,15.86,0
"7","pup",0.243835616,"long",4,2,8,7,0.897058823529412,-17.91,16.1,0
"7","pup",0.243835616,"long",5,2,10,9,0.867647058823529,-17.87,16.26,0
"7","pup",0.243835616,"long",6,4,14,12,0.823529411764706,-17.98,16.12,0
"7","pup",0.243835616,"long",7,4,18,16,0.764705882352941,-18.11,16.22,0
"7","pup",0.243835616,"long",8,4,22,20,0.705882352941176,-18.21,16.51,0
"7","pup",0.243835616,"long",9,4,26,24,0.647058823529412,-18.24,16.74,0
"7","pup",0.243835616,"long",10,4,30,28,0.588235294117647,-18.25,15.78,0
"7","pup",0.243835616,"long",11,4,34,32,0.529411764705882,-18.21,16.41,0
"7","pup",0.243835616,"long",12,4,38,36,0.470588235294118,-17.78,17.34,0
"7","pup",0.243835616,"long",13,6,44,41,0.397058823529412,-17.33,17.61,0
"7","pup",0.243835616,"long",14,6,50,47,0.308823529411765,-16.98,18.42,0
"7","pup",0.243835616,"long",15,18,68,59,0.132352941176471,-17.33,18.69,0
"8","pup",0.243835616,"long",1,4,4,2,0.970149253731343,-17.87,16.91,0
"8","pup",0.243835616,"long",2,2,6,5,0.925373134328358,-17.92,16.61,0
"8","pup",0.243835616,"long",3,2,8,7,0.895522388059702,-17.98,16.68,0
"8","pup",0.243835616,"long",4,2,10,9,0.865671641791045,-18,16.63,0
"8","pup",0.243835616,"long",5,2,12,11,0.835820895522388,-17.81,16.55,0
"8","pup",0.243835616,"long",6,2,14,13,0.805970149253731,-17.97,16.57,0
"8","pup",0.243835616,"long",7,2,16,15,0.776119402985075,-18.02,16.7,0
"8","pup",0.243835616,"long",8,2,18,17,0.746268656716418,-18.14,17.81,0
"8","pup",0.243835616,"long",9,2,20,19,0.716417910447761,-18.06,17.02,0
"8","pup",0.243835616,"long",10,2,22,21,0.686567164179104,-18.1,17.1,0
"8","pup",0.243835616,"long",11,2,24,23,0.656716417910448,-18.04,17.6,0
"8","pup",0.243835616,"long",12,4,28,26,0.611940298507463,-18.14,17,0
"8","pup",0.243835616,"long",13,4,32,30,0.552238805970149,-18.46,16.31,0
"8","pup",0.243835616,"long",14,6,38,35,0.477611940298508,-17.81,17.21,0
"8","pup",0.243835616,"long",15,6,44,41,0.388059701492537,-17.02,17.98,0
"8","pup",0.243835616,"long",16,23,67,55.5,0.171641791044776,-17.01,18.35,0
"9","pup",0.243835616,"long",1,2,2,1,0.984375,-18.32,18.6,0
"9","pup",0.243835616,"long",2,2,4,3,0.953125,-18.08,18.38,0
"9","pup",0.243835616,"long",3,2,6,5,0.921875,-17.91,18.3,0
"9","pup",0.243835616,"long",4,2,8,7,0.890625,-18.12,18.42,0
"9","pup",0.243835616,"long",5,2,10,9,0.859375,-18.16,18.27,0
"9","pup",0.243835616,"long",6,4,14,12,0.8125,-18.12,18,0
"9","pup",0.243835616,"long",7,2,16,15,0.765625,-18.34,18.1,0
